city_county,location_name,address,phone,hours_of_operation,latitude_longitude
Ithaca/Tompkins County,Olin and Uris Libraries,"Cornell University - 161 Ho Plaza 14853, Ithaca, NY 14850",607-255-4144,Mon-Thurs: 8:00 AM - 9:00 PM; Fri: 8:00 AM - 6:00 PM; Sat-Sun: 10:00 AM - 6:00 PM,"42.4479089, -76.48429229999999"
Ithaca/Tompkins County,Shops at Ithaca Mall,"40 Catherwood Rd, Ithaca, NY 14850",607-257-5338,Mon-Sat: 10:00 AM - 8:00 PM; Sun: 11:00 AM - 5:00 PM,"42.4835813, -76.49137080000001"
Dryden/Tompkins County,Southworth Library,"24 W. Main St, Dryden, NY 13053",607-844-4782,Mon-Fri: 10:00 AM - 6:00 PM; Sat: 10:00 AM - 2:00 PM,"42.49092419999999, -76.29902349999999"
Dryden/Tompkins County,Tompkins Cortland Community College,"170 North St, Dryden, NY 13053",607-844-8211,Mon-Fri: 6:00 AM - 10:00 PM; Sat: 7:30 AM - 10:00 PM; Sun: 7:30 AM - 5:00 PM,"42.502126, -76.287671"
Ithaca/Tompkins County,Tompkins County Public Library,"101 East Green St, Ithaca, NY 14850",607-272-4557,Mon-Thu: 9:00 AM -8:00 PM; Fri: 9:00 AM - 6:00 PM; Sat: 10:00 AM - 5:00 PM,"42.4385288, -76.49875999999999"
Trumansburg/Tompkins County,Ulysses Philomathic Library,"74 E. Main St, Trumansburg, NY 14886",607-387-5623,"Mon, Thurs-Fri: 10:00 AM - 5:00 PM; Tues-Wed: 10:00 AM - 7:00 PM; Sat: 10:00 AM - 2:00 PM","42.5408544, -76.65885759999999"
Ithaca/Tompkins County,YMCA of Ithaca & Tompkins County,"50 Graham Road, West Ithaca, NY 14850",607-257-0101,Mon-Fri: 6:00 AM - 8:00 PM; Sat: 8:00 AM - 4:00 PM,"42.48640109999999, -76.4903769"
Queensbury/Warren County,Aviation Mall,"578 Aviation Rd, Queensbury, NY 12804",518-793-8818 x105,Mon - Sat: 11:00 AM - 7:00 PM; Sun: 11:00 AM - 5:00 PM,"43.3267543, -73.6777302"
Lake George/Warren County,Caldwell Lake George Library,"336 Canada St, Lake George, NY 12845",518-668-2528,Mon - Fri: 10:00 AM - 5:00 PM *Operates as a cooling center during heat waves only*,"43.4266835, -73.7117478"
Glens Falls/Warren County,Crandall Library,"251 Glen St., Glens Falls, NY 12801",518-792-6508,Mon - Thurs: 9:00 AM - 7:00 PM; Fri & Sat: 9:00 AM - 5:00 PM,"43.3107407, -73.6457113"
Lake Luzerne/Warren County,Lake Luzerne Senior Center,"539 Lake Ave, Lake Luzerne, NY 12846",518-361-2404,Mon-Fri: 8:00 AM - 4:00 PM *Operates as a cooling center during heat waves only*,"43.3397028, -73.83867889999999"
Warrensburg/Warren County,Richards Library,"36 Elm St., Warrensburg, NY 12885",(518) 623-3011,"Mon, Wed, Fri: 9:00 AM - 5:00 PM; Tues & Thurs: 9:00 AM - 7:00 PM; Sat: 9:00 AM - 12:00 PM *Operates as a cooling center during heat waves only*","43.4938874, -73.774198"
Glens Falls/Warren County,The Open Door Mission,"226 Warren St, Glens Falls, NY 12801",518-792-5900 x101,Mon - Fri: 9:00 AM - 5:00 PM,"43.3107602, -73.6288912"
Clyde/Wayne County,Clyde-Savannah Public Library,"204 Glasgow Street, Clyde, NY 14433",315-923-7767,Sun: Closed; Mon: 1:00 PM - 8:00 PM; Tue: 10:00 AM - 6:00 PM; Wed: 1:00 PM - 8:00 PM; Thu: 10:00 AM - 6:00 PM; Fri: 1:00 PM - 6:00 PM; Sat: 10:00 AM - 1:00 PM,"43.087763, -76.86783799999999"
Lyons/Wayne County,Lyons Public Library,"122 Broad Street, Lyons, NY 14489",315-946-9262,Sun: Closed; Mon: 10:00 AM - 7:00 PM; Tue: 10:00 AM - 7:00 PM; Wed: 10:00 AM - 7:00 PM; Thu: 10:00 AM - 7:00 PM; Fri: 10:00 AM - 6:00 PM; Sat: 9:00 AM - 1:00 PM,"43.068816, -76.990689"
Macedon/Wayne County,Macedon Library,"30 W Main Street, Macedon, NY 14502",315-986-5932,Mon - Thurs: 10:00 AM - 8:00 PM; Fri - Sat: 10:00 AM - 2:00 PM,"43.066825, -77.3072684"
Marion/Wayne County,Marion Public Library,"4036 Maple Ave., Marion, NY 14505",315-926-4933,Sun: Closed; Mon: 10:00 AM - 8:00 PM; Tue: 2:00 PM - 6:00 PM; Wed: 10:00 AM - 8:00 PM; Thu: 2:00 PM - 6:00 PM; Fri: 2:00 PM - 6:00 PM; Sat: 9:00 AM - 12:00 PM,"43.142443, -77.18816199999999"
Newark/Wayne County,Newark Library,"121 High Street, Newark, NY 14513",315-331-4370,Mon - Thurs: 9:30 AM - 7:00 PM; Fri: 9:30 AM - 6:00 PM; Sat: 9:30 AM - 1:00 PM,"43.0447138, -77.09734780000001"
Ontario/Wayne County,Ontario Library,"1850 Ridge Rd, Ontario, NY 14519",315-524-2139,Mon & Tues: 10:00 AM - 7:00 PM; Wed - Fri: 10:00 AM - 5:00 PM,"43.2209426, -77.2833793"
Palmyra/Wayne County,Palmyra Library,"402 E Main Street, Palmyra, NY 14522",315-597-4276,Mon - Thurs: 10:00 AM - 8:00 PM; Fri: 10:00 AM - 5:00 PM; Sat: 10:00 AM - 2:00 PM,"43.063325, -77.2285253"
Red Creek/Wayne County,Red Creek Free Library,"6817 Main St., Red Creek, NY 13143",315-754-6679,Sun: Closed; Mon: 10:00 AM - 4:00 PM; Tue: 1:00 PM - 6:00 PM; Wed: 10:00 AM - 4:00 PM; Thu: 1:00 PM - 6:00 PM; Fri: 10:00 AM - 4:00 PM; Sat: 9:00 AM - 1:00 PM,"43.2474184, -76.7225667"
North Rose/Wayne County,Rose Library,"4069 Main Street, Rose, NY 14542",315-587-2335,Mon & Wed: 1:00 PM - 7:00 PM; Tues & Fri: 9:00 AM - 3:00 PM,"43.1529379, -76.8784759"
Sodus/Wayne County,Sodus Community Library,"17 Maple Ave., Sodus, NY 14551",315-483-9292,Sun: Closed; Mon: 9:00 AM - 8:00 PM; Tue: 9:00 AM - 8:00 PM; Wed: 9:00 AM - 8:00 PM; Thu: 9:00 AM - 8:00 PM; Fri: 9:00 AM - 5:00 PM; Sat: 10:00 AM - 5:00 PM,"43.237225, -77.062135"
Walworth/Wayne County,Walworth-Seely Public Library,"3600 Lorraine Dr., Walworth, NY 14568",315-986-1511,Sun: Closed; Mon: 10:00 AM - 8:00 PM; Tue: 10:00 AM - 8:00 PM; Wed: 10:00 AM - 8:00 PM; Thu: 10:00 AM - 8:00 PM; Fri: 10:00 AM - 6:00 PM; Sat: 10:00 AM - 2:00 PM,"43.1344821, -77.2890439"
Williamson/Wayne County,Williamson Public Library,"6380 Rt 21, Suite 1, NY 14589-9599",315-589-2048,Sun: Closed; Mon: 9:30 AM - 8:00 PM; Tue: 09:30 AM - 8:00 PM; Wed: 09:30 AM - 8:00 PM; Thu: 9:30 AM - 8:00 PM; Fri: 09:30 AM - 5:00 PM; Sat: 10:00 AM - 2:00 PM,"43.2309508, -77.1865984"
Wolcott/Wayne County,Wolcott Public Library,"5890 New Hartford Street, Wolcott, NY 14590",315-594-2265,Sun: Closed; Mon: 2:00 PM - 8:00 PM; Tue: 11:00 AM - 5:00 PM; Wed: 2:00 PM - 8:00 PM; Thu: 11:00 AM - 5:00 PM; Fri: 2:00 PM - 6:00 PM; Sat: 11:00 AM - 2:00 PM,"43.2154902, -76.8142979"
Ardsley/Westchester County,Ardsley Public Library,"9 American Legion Drive, Ardsley, NY 10502",914-693-6636,Mon - Wed & Sat: 10:00 AM - 5:30 PM; Thurs: 1:00 PM - 8:00 PM; Sat in July & August: 10:00 AM - 1:00 PM; Sun: Closed,"41.0123224, -73.8445942"
Bedford/Westchester County,Bedford Free Library,"32 Village Green, Bedford, NY 10506",914-234-3570,Mon - Fri: 10:00 AM - 6:00 PM; Sat: 10:00 AM - 2:00 PM,"41.2034892, -73.64308770000001"
Bronxville/Westchester County,Bronxville Public Library,"201 Pondfield Rd, Bronxville, NY 10708",914-337-7680,"Mon, Wed, Fri: 9:30 AM - 5:30 PM; Tues: 1:00 PM - 8:00 PM; Thurs: 1:00 PM - 5:30 PM; Sat: 9:30 AM - 1:00 PM","40.9358888, -73.83068709999999"
Chappaqua/Westchester County,Chappaqua Library,"195 South Greeley Ave, Chappaqua, NY 10514",914-238-4779,Mon - Thurs: 9:00 AM - 8:00 PM; Fri: 9:00 AM - 6:00 PM; Sat: 9:00 AM - 5:00 PM; Sun: 1:00 PM - 5:00 PM,"41.154997, -73.7732504"
Yonkers/Westchester County,Crestwood Branch (Yonkers),"16 Thompson Street, Yonkers, NY 10707",914-779-3774,"Mon & Wed: 10:00 AM - 5:00 PM; Tues: 12:00 PM - 8:00 PM; Thurs: 10:00 AM - 6:00 PM; Fri: 12:00 PM - 5:00 PM; Sat: 10:00 AM - 5:00 PM, Sun: 12:00 PM - 5:00 PM; Sun: Closed July - Aug","40.9618161, -73.8232975"
Croton-on-Hudson/Westchester County,Croton Free Library,"171 Cleveland Drive, Croton-on-Hudson, NY 10520",914-271-6612,Mon: 1:00 PM - 9:00 PM; Tues & Thurs: 10:00 AM - 9:00 PM; Wed & Fri: 10:00 AM - 5:30 PM; Sat: 10:00 AM - 5:00 PM; Sun 1:00 PM - 5:00 PM | *closed Sundays Independence Day - Labor Day,"41.208132, -73.879211"
Croton-on-Hudson/Westchester County,Croton-on-Hudson Community Room at Stanley H. Kellerhouse Municipal Building,"1 Van Wyck Street., Croton-on-Hudson, NY 10520",914-271-4781,Mon-Thurs: 8:30 AM - 4:30 PM; Fri: 8:30 AM - 2:00 PM,"41.2083196, -73.88768979999999"
Dobbs Ferry/Westchester County,Dobbs Ferry Public Library,"55 Main St, Dobbs Ferry, NY 10522",914-693-6614,Mon & Wed: 10:00 AM - 8:00 PM; Tues & Thurs: 10:00 AM - 6:00 PM; Fri & Sat: 10:00 AM - 5:00 PM; Sun: 1:00 PM - 5:00 PM | *closed Sundays May - Oct.,"41.0134297, -73.8769243"
Elmsford/Westchester County,Greenburgh Public Library,"300 Tarrytown Road, Elmsford, NY 10523",914-721-8200,"Mon, Thurs, Fri, Sat: 9:30 AM - 5:00 PM; Tues & Wed: 9:30 AM - 8:30 PM; Sun: Closed during Summer","41.046391, -73.806793"
Yonkers/Westchester County,Grinton I. Will Branch (Yonkers),"1500 Central Park Avenue, Yonkers, NY 10710",914-771-9616,"Mon - Wed 9:00 AM - 8:00 PM, Thurs 10:00 AM - 8:00 PM, Fri - Sat 10:00 AM - 5:00 PM, Sun 12:00 PM - 5:00 PM; Sun: Closed July - Aug","40.9511614, -73.844927"
Harrison/Westchester County,Harrison Public Library - Main Branch,"2 Bruce Avenue, Harrison, NY 10528",914-835-0324,"Mon & Wed: 9:30 AM - 9:00 PM; Tues & Thurs - Sat: 9:30 AM - 5:30 PM; Sun: 1 :00 PM - 5:00 PM; Sat: 9:30 AM - 12:30 PM, Sun: Closed Memorial Day - Labor Day","40.970814, -73.712152"
Harrison/Westchester County,Harrison Public Library - West Harrison Branch,"2 Madison St, West Harrison, NY 10604",914-948-2092,Mon & Wed: 10:00 AM - 7:00 PM; Tues & Thurs-Sat: 10:00 AM - 5:00 PM; Sat & Sun: Closed Memorial Day - Labor Day,"41.0416576, -73.749049"
Hastings-on-Hudson/Westchester County,Hastings on Hudson Public Library,"7 Maple Avenue, Hastings-on-Hudson, NY 10706",914-478-3307,Mon-Thurs: 9:30 AM - 7:00 PM; Fri & Sat: 9:30 AM - 2:00 PM; Sun: 1:00 PM - 5:00 PM; Sun: Closed in Summer,"40.9953665, -73.8837363"
Montrose/Westchester County,Hendrick Hudson Free Library (Montrose),"185 Kings Ferry Road, Montrose, NY 10548",914-739-5654,Mon - Thurs: 9:00 AM - 8:00 PM; Fri: 9:00 AM - 6:00 PM; Sat: 9:00 AM - 5:00 PM; Sun: 1:00 PM - 5:00 PM,"41.250397, -73.946399"
Armonk/Westchester County,Hergenhan Community Center (North Castle),"40 Maple Ave, Armonk, NY 10504",914-273-3000,Call for operating hours.,"41.1267305, -73.7118902"
Irvington/Westchester County,Irvington Public Library,"12 South Astor St, Irvington-on-Hudson, NY 10533",914-591-7840,"Mon, Wed, Fri: 10:00 AM - 5:00 PM Tues & Thurs: 10:00 AM - 9:00 PM; Sat: 10:00 AM - 5:00 PM","41.0394479, -73.8726717"
Shrub Oak/Westchester County,John C. Hart Memorial Library (Yorktown),"1130 E Main St, Shrub Oak, NY 10588",914-245-5262,Mon-Thurs: 9:30 AM - 8:00 PM; Fri: 10:00 AM - 5:00 PM; Sat: 9:30 AM - 5:00 PM; Sun: 12:00 PM - 4:00 PM Oct - Apr; Sun: Closed May - Sept,"41.3301312, -73.8293537"
Katonah/Westchester County,Katonah Village Library,"26 Bedford Road, Katonah, NY 10536",914-232-3508,"Mon - Wed 10:00 AM - 6:00 PM, Thurs 10:00 AM - 7:00 PM, Fri - Sat 10 AM - 5 PM, Sun 12 PM - 5 PM","41.258389, -73.68494199999999"
Larchmont/Westchester County,Larchmont Library’s Village Center,"119 Larchmont Ave, Larchmont, NY 10538",,Wed 6/19: 9:00 AM - 5:00 PM,"40.927647, -73.75056099999999"
Larchmont/Westchester County,Larchmont Public Library,"121 Larchmont Ave, Larchmont, NY 10538",914-834-2281,"Mon, Wed, Fri - Sat: 9:00 AM - 5:00 PM; Tues & Thurs: 9:00 AM - 8:00 PM, Sun: 12:00 PM - 5:00 PM; Sun: Closed in Summer","40.9275031, -73.7509554"
South Salem/Westchester County,Lewisboro Library (South Salem),"15 Main St, South Salem, NY 10590",914-763-3857,Mon - Thurs: 10:00 AM - 6:00 PM; Fri: 10:00 AM - 5:00 PM; Sat: 10:00 PM - 4:00 PM,"41.2762507, -73.55560229999999"
Mamaroneck/Westchester County,Mamaroneck Public Library,"136 Prospect Ave, Mamaroneck, NY 10543",914-698-1250,"Mon, Wed: 10:00 AM - 8:00 PM; Tues, Thurs: 10:00 AM - 6:00 PM; Fri, Sat: 10:00 AM - 5:00 PM; Sun: Closed","40.949502, -73.734032"
Mount Kisco/Westchester County,Mount Kisco Public Library,"100 Main Street, Mount Kisco, NY 10549",914-666-8041,Mon & Tues: 10:00 AM - 6:00 PM; Wed & Thurs: 10:00 AM - 7:00 PM; Fri: 10:00 AM - 5:00 PM; Sat: 10:00 AM - 4:00 PM,"41.2064913, -73.72713689999999"
Valhalla/Westchester County,Mount Pleasant Branch Library,"125 Lozza Dr, Valhalla, NY 10595",914-741-0276,Mon-Thurs: 10:00 AM - 5:00 PM; Fri & Sat: 10:00 AM - 2:00 PM,"41.09943699999999, -73.772119"
Pleasantville/Westchester County,Mount Pleasant Public Library,"350 Bedford Road, Pleasantville, NY 10570",914-769-0548,Mon-Thurs: 10:00 AM - 8:00 PM; Fri & Sat: 10:00 AM - 5:00 PM; Sun: 1:00 PM - 5:00 PM; Sun: Closed 7/2-9/3,"41.1353417, -73.7859816"
Chappaqua/Westchester County,New Castle Town Hall (Chappaqua),"200 South Greeley Avenue, Chappaqua, NY 10514",914-238-4771,Sun-Mon: 9:00 AM - 9:00 PM,"41.1555154, -73.7746365"
New Rochelle/Westchester County,New Rochelle Public Library,"One Library Plaza, New Rochelle, NY 10801",914-632-7878,"Mon, Tues & Thurs: 9:00 AM - 8:00 PM; Wed: 10:00 AM - 6:00 PM; Fri & Sat: 9:00 AM - 5:00 PM; Sun: 1:00 PM - 5:00 PM | * Summer Hours: Sat 10 AM - 2:00 PM, closed Sundays","40.9099461, -73.7823492"
Armonk/Westchester County,North Castle Public Library (Armonk),"19 Whippoorwill Road, East Armonk, NY 10504",914-273-3887,"Mon, Wed - Fri: 10:00 AM - 5:30 PM; Tues: 10:00 AM - 8:00 PM; Sat: 10:00 AM - 5:00 PM","41.1264543, -73.715062"
Croton Falls/Westchester County,North Salem Community Center,"3 Owens Rd, Croton Falls, NY 10519",914-669-5665,Mon - Fri: 9:00 AM - 4:40 PM,"41.346218, -73.6598695"
White Plains/Westchester County,North White Plains Library (Armonk & North Castle),"10 Clove Rd, White Plains, NY 10603",914-948-6359,"Mon - Wed, Fri: 10:00 AM - 5:30 PM; Thurs: 10:00 AM - 8:00 PM; Sat: 10:00 AM - 5:00 PM","41.0671057, -73.7669324"
Ossining/Westchester County,Ossining Public Library,"53 Croton Ave, Ossining, NY 10562",914-941-2416,Mon & Thurs: 9:00 AM - 9:00 PM; Tues & Fri: 10:00 AM - 6:00 PM; Wed: 1:00 PM - 9:00 PM; Sat: 9:00 AM - 5:00 PM; Sun: 1:00 PM - 5:00 PM,"41.1641182, -73.86018469999999"
Port Chester/Westchester County,Port Chester Second Floor Meeting Room/Auditorium,"350 N. Main Street, Port Chester, NY 10573",914-939-4975,"Mon - Fri: 9:00 AM - 5:00 PM, Sat: 9:00 AM - 4:00 PM","41.0068291, -73.6588972"
Port Chester/Westchester County,Port Chester Senior Center,"222 Grace Church St, Port Chester, NY 10573",914-939-4975,Mon-Fri: 9:00 AM - 5:00 PM; Sat: 9:00 AM - 4:00 PM,"40.9899375, -73.6675621"
Pound Ridge/Westchester County,Pound Ridge Library District,"271 Westchester Avenue, Pound Ridge, NY 10576",914-764-5085,Tues-Fri: 10:00 AM - 6:00 PM; Sat 10:00 AM - 5:00 PM (5/1-6/30); Sat: 10:00 PM - 3:00 PM (7/1-8/31),"41.211072, -73.573307"
Pound Ridge/Westchester County,Pound Ridge Townhouse,"179 Westchester Ave, Pound Ridge, NY 10576",914-764-4206,Sun-Sat: 9:00 AM - 9:00 PM,"41.1986147, -73.5688425"
Harrison/Westchester County,Purchase Free Library,"3093 Purchase Street, Purchase, NY 10577",914-948-0550,Mon-Fri: 9:30 AM - 5:30 PM; Sat: 9:30 AM - 3:30 PM,"41.0405525, -73.7142277"
Yonkers/Westchester County,Riverfront Library Branch (Yonkers),"1 Larkin Plz Yonkers, NY, NY 10701",914-337-1500,Mon - Wed: 9:00 AM - 8:00 PM; Thurs 10:00 AM - 8:00 PM; Fri - Sat 10:00 AM - 5:00 PM; Sun 12:00 PM - 5:00 PM; Sun: Closed July - Aug; Wed 6/19: 9:00 AM - 5:00 PM,"40.9360015, -73.9016259"
North Salem/Westchester County,Ruth Keeler Memorial Library (North Salem),"279 Titicus Road (Route 116), North Salem, NY 10560",914-668-5161,Mon: 10:00 AM - 7:00 PM; Tues - Fri: 10:00 AM - 5:00 PM; Sat: 10:00 AM - 3:00 PM,"41.3285409, -73.5960959"
Katonah/Westchester County,Somers Nutrition Program (D Wayne Van Tassel Memorial Park),"98 Primrose St, Katonah, NY 10536",914-232-0807,Mon-Fri: 8:00 AM - 3:00 PM,"41.3084055, -73.7143181"
Tarrytown/Westchester County,Tarrytown Senior Center,"240 West Main St, Tarrytown, NY 10591",914-631-8347,Mon - Fri: 8:00 AM - 4:00 PM,"41.0766469, -73.86749569999999"
Peekskill/Westchester County,The Field Library Central Library of Westchester Library System,"4 Nelson Ave, Peekskill, NY 10566",914-737-1212,"Mon, Tues, Thurs: 9:00 AM - 9:00 PM; Wed: 11:00 AM - 9:00 PM; Fri: 9:00 AM - 5:00 PM; Sat: 10:00 AM - 5:00 PM; Sun: 1:00 PM - 4:00 PM","41.2911099, -73.92251"
Village of Pelham/Westchester County,Town of Pelham Public Library,"530 Colonial Ave, Pelham, NY 10803",914-738-1234,"Mon & Thurs: 1:00 PM - 7:00 PM; Tues, Wed, Fri: 10:00 AM - 5:00 PM; Sat: 10:00 AM - 4:00 PM","40.9023656, -73.81429059999999"
White Plains/Westchester County,White Plains Public Library,"100 Martine Ave, White Plains, NY 10601",914-422-1400,Mon - Thurs: 10:00 AM - 9:00 PM; Fri: 10:00 AM - 6:00 PM; Sat & Sun: 1:00 PM - 5:00 PM,"41.030354, -73.76997999999999"
Arcade/Wyoming County,Arcade Free Library,"365 Main Street, Arcade, NY 14009",585-492-1297,Call for operating hours. Closed Sun.,"42.5342421, -78.4275643"
Castile/Wyoming County,Cordelia A Greene Library,"11 South Main Street, Castile, NY 14427",585-493-5466,Call for operating hours. Closed Sat and Sun.,"42.63156780000001, -78.0516648"
Bliss/Wyoming County,Eagle Free Library,"3413 School Street, Bliss, NY 14024",585-322-7701,Call for operating hours. Closed Sun and Mon.,"42.57953639999999, -78.2548152"
Perry/Wyoming County,Perry Public Library,"70 N Main Street, Perry, NY 14530",585-237-2243,Call for operating hours. Closed Sun.,"42.7202993, -77.9996649"
Pike/Wyoming County,Pike Library,"65 Main Street, Pike, NY 14130",585-492-5900,"Call for operating hours. Closed Tues, Fri, and Sun.","42.55525189999999, -78.1543614"
Attica/Wyoming County,Stevens Memorial Library,"146 Main Street, Attica, NY 14011",585-591-2733,Call for operating hours. Closed Sun.,"42.8637077, -78.2771126"
Silver Springs/Wyoming County,Town of Gainesville Public Library,"10 Church Street, Silver Springs, NY 14550",585-493-2970,Call for operating hours. Closed Sat and Sun.,"42.6598643, -78.0837186"
Warsaw/Wyoming County,Warsaw Public Library,"130 N Main Street, Warsaw, NY 14569",585-786-5650,Call for operating hours. Closed Sun.,"42.7424964, -78.13220969999999"
Wyoming/Wyoming County,Wyoming Free Circulating Library Association,"114 S Academy Street, Wyoming, NY 14591",585-495-6840,"Call for operating hours. Closed Tues, Fri, and Sun.","42.8224868, -78.0935712"
Dundee/Yates County,American Legion Dundee,"10 Spring St, Dundee, NY 14837",607-243-8285,Call for operating hours,"42.5212405, -76.9770874"
Dundee/Yates County,Dundee Library,"32 Water St, Dundee, NY 14837",607-243-5938,Call for operating hours,"42.5243258, -76.9772448"
Branchport/Yates County,Modeste Bedient Memorial Library,"3699 NY-54A, Branchport, NY 14418",,Tue: 11:00 AM - 6:00 PM; Wed: 1:00 PM - 8:00 PM; Fri: 9:00 AM - 6:00 PM; Sat: 9:00 AM - 1:00 PM,"42.5993601, -77.15122090000001"
Dundee/Yates County,Our Town Rocks,"12 Main St, Dundee, NY 14837",607-426-4015,24 hours/7 days,"42.523012, -76.97642600000002"
Penn Yan/Yates County,Penn Yan Public Library,"214 Main St, Penn Yan, NY 14527",315-536-6114,Call for operating hours,"42.6642976, -77.0562917"
